Diamantino Costa;Ricardo Barbosa;2
Ricardo Barbosa;Diamantino Costa;2
Diamantino Costa;Ricardo Maia;1
Ricardo Maia;Diamantino Costa;1
Diogo Ferreira;Attila Marosi;1
Attila Marosi;Diogo Ferreira;1
Diogo Ferreira;David Santiago;1
David Santiago;Diogo Ferreira;1
Diogo Ferreira;Etienne Urbah;1
Etienne Urbah;Diogo Ferreira;1
Diogo Ferreira;Filipe Araujo;4
Filipe Araujo;Diogo Ferreira;4
Diogo Ferreira;Gábor Gombás;1
Gábor Gombás;Diogo Ferreira;1
Diogo Ferreira;Jorge Farinha;1
Jorge Farinha;Diogo Ferreira;1
Diogo Ferreira;Luís Silva;1
Luís Silva;Diogo Ferreira;1
Diogo Ferreira;Naghmeh Ramezani Ivaki;1
Naghmeh Ramezani Ivaki;Diogo Ferreira;1
Diogo Ferreira;Oleg Lodygensky;1
Oleg Lodygensky;Diogo Ferreira;1
Diogo Ferreira;Patricio Domingues;3
Patricio Domingues;Diogo Ferreira;3
Diogo Ferreira;Péter Kacsuk;1
Péter Kacsuk;Diogo Ferreira;1
Diogo Ferreira;Zoltán Balaton;1
Zoltán Balaton;Diogo Ferreira;1
Diogo Ferreira;Zoltán Farkas;1
Zoltán Farkas;Diogo Ferreira;1
Diogo Guerra;Pedro Bizarro;1
Pedro Bizarro;Diogo Guerra;1
Diogo Guerra;Ute Gawlick;1
Ute Gawlick;Diogo Guerra;1
Douglas Rodrigues;Francisco Mónaco;1
Francisco Mónaco;Douglas Rodrigues;1
Douglas Rodrigues;Júlio Estrella;3
Júlio Estrella;Douglas Rodrigues;3
Douglas Rodrigues;Kalinka Branco;3
Kalinka Branco;Douglas Rodrigues;3
Douglas Rodrigues;Marco Vieira;3
Marco Vieira;Douglas Rodrigues;3
Douglas Rodrigues;Nuno Antunes;1
Nuno Antunes;Douglas Rodrigues;1
Eduardo Gomez;José Feiteirinha;1
José Feiteirinha;Eduardo Gomez;1
Eduardo Gomez;Juan F Prieto;1
Juan F Prieto;Eduardo Gomez;1
Eduardo Gomez;Mauro Pecchioli;1
Mauro Pecchioli;Eduardo Gomez;1
Eduardo Gomez;Pedro Bizarro;1
Pedro Bizarro;Eduardo Gomez;1
Eliane Martins;Henrique Madeira;6
Henrique Madeira;Eliane Martins;6
Eliane Martins;Joao Duraes;3
Joao Duraes;Eliane Martins;3
Eliane Martins;Marco Vieira;2
Marco Vieira;Eliane Martins;2
Eliane Martins;Naaliel Mendes;3
Naaliel Mendes;Eliane Martins;3
Eliane Martins;Regina Moraes;7
Regina Moraes;Eliane Martins;7
Eliane Martins;Ricardo Barbosa;2
Ricardo Barbosa;Eliane Martins;2
Eliane Martins;Rogério de Lemos;2
Rogério de Lemos;Eliane Martins;2
Emilia Villani;Ana Maria Ambrósio;4
Ana Maria Ambrósio;Emilia Villani;4
Emilia Villani;Henrique Madeira;4
Henrique Madeira;Emilia Villani;4
Emilia Villani;Johan Karlsson;2
Johan Karlsson;Emilia Villani;2
Emilia Villani;Marco Vieira;4
Marco Vieira;Emilia Villani;4
Emilia Villani;Nuno Silva;1
Nuno Silva;Emilia Villani;1
Emilia Villani;Paulo C. Veras;4
Paulo C. Veras;Emilia Villani;4
Emilia Villani;Raul Barbosa;2
Raul Barbosa;Emilia Villani;2
Emilia Villani;Rodrigo P. Pontes;1
Rodrigo P. Pontes;Emilia Villani;1
Etienne Urbah;Attila Marosi;1
Attila Marosi;Etienne Urbah;1
Etienne Urbah;David Santiago;1
David Santiago;Etienne Urbah;1
Etienne Urbah;Diogo Ferreira;1
Diogo Ferreira;Etienne Urbah;1
Etienne Urbah;Filipe Araujo;2
Filipe Araujo;Etienne Urbah;2
Etienne Urbah;Gabriel Caillat;1
Gabriel Caillat;Etienne Urbah;1
Etienne Urbah;Gilles Fedak;1
Gilles Fedak;Etienne Urbah;1
Etienne Urbah;Gábor Gombás;1
Gábor Gombás;Etienne Urbah;1
Etienne Urbah;Haiwu He;1
Haiwu He;Etienne Urbah;1
Etienne Urbah;Jorge Farinha;1
Jorge Farinha;Etienne Urbah;1
Etienne Urbah;Luís Silva;1
Luís Silva;Etienne Urbah;1
Etienne Urbah;Oleg Lodygensky;2
Oleg Lodygensky;Etienne Urbah;2
Etienne Urbah;Patricio Domingues;1
Patricio Domingues;Etienne Urbah;1
Etienne Urbah;Péter Kacsuk;2
Péter Kacsuk;Etienne Urbah;2
Etienne Urbah;Zoltán Balaton;2
Zoltán Balaton;Etienne Urbah;2
Etienne Urbah;Zoltán Farkas;2
Zoltán Farkas;Etienne Urbah;2
Eudisley Gomes dos Anjos;Mário Alberto Zenha Rela;4
Mário Alberto Zenha Rela;Eudisley Gomes dos Anjos;4
F. Moreira;Henrique Madeira;1
Henrique Madeira;F. Moreira;1
F. Moreira;Juan Carlos García;1
Juan Carlos García;F. Moreira;1
F. Moreira;Karama Kanoun;1
Karama Kanoun;F. Moreira;1
F. Moreira;Mario Dal Cin;1
Mario Dal Cin;F. Moreira;1
Fernando Aldea-Montero;Han van Loon;1
Han van Loon;Fernando Aldea-Montero;1
Fernando Aldea-Montero;João Gabriel Silva;1
João Gabriel Silva;Fernando Aldea-Montero;1
Fernando Aldea-Montero;Manuel Rodríguez;1
Manuel Rodríguez;Fernando Aldea-Montero;1
Fernando Aldea-Montero;Patricia Rodríguez-Dapena;1
Patricia Rodríguez-Dapena;Fernando Aldea-Montero;1
Fernando Barros;Filipe Araujo;3
Filipe Araujo;Fernando Barros;3
Fernando Barros;Naghmeh Ramezani Ivaki;3
Naghmeh Ramezani Ivaki;Fernando Barros;3
Fernando Costa;Gilles Fedak;2
Gilles Fedak;Fernando Costa;2
Fernando Costa;Ian Kelley;4
Ian Kelley;Fernando Costa;4
Fernando Costa;Ian Taylor;1
Ian Taylor;Fernando Costa;1
Fernando Costa;Luís Silva;5
Luís Silva;Fernando Costa;5
Filipe Araujo;Ad Emmen;2
Ad Emmen;Filipe Araujo;2
Filipe Araujo;Alvaro E. Arenas;2
Alvaro E. Arenas;Filipe Araujo;2
Filipe Araujo;António Casimiro Costa;3
António Casimiro Costa;Filipe Araujo;3
Filipe Araujo;Attila Marosi;3
Attila Marosi;Filipe Araujo;3
Filipe Araujo;David Santiago;1
David Santiago;Filipe Araujo;1
Filipe Araujo;Derrik Kondo;5
Derrik Kondo;Filipe Araujo;5
Filipe Araujo;Diogo Ferreira;4
Diogo Ferreira;Filipe Araujo;4
Filipe Araujo;Etienne Urbah;2
Etienne Urbah;Filipe Araujo;2
Filipe Araujo;Fernando Barros;3
Fernando Barros;Filipe Araujo;3
Filipe Araujo;Franck Capello;1
Franck Capello;Filipe Araujo;1
Filipe Araujo;Gabriel Caillat;1
